# GA run_dir=experiments/ga_shelter/20260311-152153_0035b64b
#S2 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=22 nevals=48 stats={'avg': np.float64(242.57142857142858), 'std': np.float64(12.152097324649562), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
gen=23 nevals=40 stats={'avg': np.float64(243.49285714285713), 'std': np.float64(13.392026640916617), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
gen=24 nevals=47 stats={'avg': np.float64(244.9), 'std': np.float64(15.527073130503375), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19), ([32, 55, 59, 33, 17, 26], (242.0,), 3)]
gen=25 nevals=41 stats={'avg': np.float64(245.35714285714286), 'std': np.float64(16.721274485163008), 'min': np.float64(234.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 25], (234.0,)), ([32, 55, 59, 33, 14, 26], (240.0,)), ([32, 55, 59, 33, 14, 26], (240.0,))] overall_top3=[([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19)]
gen=26 nevals=43 stats={'avg': np.float64(243.87142857142857), 'std': np.float64(15.199550208167748), 'min': np.float64(234.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 25], (234.0,)), ([32, 55, 59, 33, 14, 25], (234.0,)), ([32, 55, 59, 33, 14, 25], (234.0,))] overall_top3=[([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11), ([32, 55, 59, 33, 27, 26], (240.0,), 19)]
gen=27 nevals=49 stats={'avg': np.float64(248.57142857142858), 'std': np.float64(20.88305630927443), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 25], (234.0,)), ([32, 55, 59, 33, 14, 25], (234.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=28 nevals=50 stats={'avg': np.float64(246.04285714285714), 'std': np.float64(19.096324039896647), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=29 nevals=47 stats={'avg': np.float64(243.78571428571428), 'std': np.float64(19.65988872017835), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=30 nevals=45 stats={'avg': np.float64(240.5857142857143), 'std': np.float64(19.05967535111225), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=31 nevals=43 stats={'avg': np.float64(237.92857142857142), 'std': np.float64(15.600660634886523), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=32 nevals=37 stats={'avg': np.float64(239.05714285714285), 'std': np.float64(18.592537454032247), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=33 nevals=47 stats={'avg': np.float64(235.7), 'std': np.float64(11.725856654663412), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
gen=34 nevals=46 stats={'avg': np.float64(236.4857142857143), 'std': np.float64(13.92915017112659), 'min': np.float64(233.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25), ([32, 55, 59, 33, 14, 26], (240.0,), 11)]
