# GA run_dir=experiments/ga_shelter/20260311-112311_85911e49
#S3 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=22 nevals=48 stats={'avg': np.float64(220.6), 'std': np.float64(22.929332430628804), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=23 nevals=49 stats={'avg': np.float64(222.55714285714285), 'std': np.float64(26.357777770130614), 'min': np.float64(213.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 28, 52], (215.0,), 11)]
gen=24 nevals=46 stats={'avg': np.float64(223.14285714285714), 'std': np.float64(26.922792104346783), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=25 nevals=48 stats={'avg': np.float64(221.5857142857143), 'std': np.float64(24.548199152537705), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([33, 49, 0, 23, 28, 52], (213.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=26 nevals=54 stats={'avg': np.float64(223.94285714285715), 'std': np.float64(28.305418822089134), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([33, 49, 0, 23, 28, 52], (213.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=27 nevals=44 stats={'avg': np.float64(217.92857142857142), 'std': np.float64(20.208429237446882), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=28 nevals=51 stats={'avg': np.float64(223.88571428571427), 'std': np.float64(28.36322712706057), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=29 nevals=44 stats={'avg': np.float64(216.72857142857143), 'std': np.float64(17.85490843163417), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=30 nevals=49 stats={'avg': np.float64(223.24285714285713), 'std': np.float64(28.588926784576536), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=31 nevals=33 stats={'avg': np.float64(214.99285714285713), 'std': np.float64(14.819989603125054), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
