# GA run_dir=experiments/ga_shelter/20260311-103058_e3b8941a
#S1 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=22 nevals=52 stats={'avg': np.float64(255.05714285714285), 'std': np.float64(11.935404373167273), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=23 nevals=47 stats={'avg': np.float64(252.0857142857143), 'std': np.float64(5.533644774449831), 'min': np.float64(251.0), 'max': np.float64(294.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 57, 58, 68], (251.0,)), ([63, 31, 33, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=24 nevals=58 stats={'avg': np.float64(255.78571428571428), 'std': np.float64(12.723311403138117), 'min': np.float64(251.0), 'max': np.float64(301.0)} top3=[([63, 21, 10, 64, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=25 nevals=37 stats={'avg': np.float64(254.14285714285714), 'std': np.float64(10.694839495604162), 'min': np.float64(248.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 10, 64, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=26 nevals=40 stats={'avg': np.float64(255.97142857142856), 'std': np.float64(13.714404761388067), 'min': np.float64(248.0), 'max': np.float64(301.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=27 nevals=47 stats={'avg': np.float64(256.9142857142857), 'std': np.float64(15.769539224306422), 'min': np.float64(248.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=28 nevals=50 stats={'avg': np.float64(252.78571428571428), 'std': np.float64(8.47330742836056), 'min': np.float64(248.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=29 nevals=39 stats={'avg': np.float64(253.44285714285715), 'std': np.float64(9.64607353765653), 'min': np.float64(248.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=30 nevals=48 stats={'avg': np.float64(254.67142857142858), 'std': np.float64(11.257659524038896), 'min': np.float64(248.0), 'max': np.float64(300.0)} top3=[([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25), ([22, 60, 38, 31, 64, 46], (249.0,), 0)]
gen=31 nevals=47 stats={'avg': np.float64(254.84285714285716), 'std': np.float64(13.44898903718971), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([44, 21, 33, 59, 58, 39], (242.0,)), ([63, 21, 33, 59, 58, 39], (248.0,)), ([63, 21, 33, 59, 58, 39], (248.0,))] overall_top3=[([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3), ([63, 21, 33, 59, 58, 39], (248.0,), 25)]
