# GA run_dir=experiments\ga_shelter\20251222-142334_5219104f
# mate=0.7 mutate=0.3 ngen=200 pop_n=60 tournsize=3
gen=31 nevals=47 stats={'avg': np.float64(89.98333333333333), 'std': np.float64(19.603138920988023), 'min': np.float64(84.0), 'max': np.float64(200.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=32 nevals=51 stats={'avg': np.float64(89.53333333333333), 'std': np.float64(18.34708575102748), 'min': np.float64(84.0), 'max': np.float64(169.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=33 nevals=45 stats={'avg': np.float64(90.53333333333333), 'std': np.float64(20.884975992857218), 'min': np.float64(84.0), 'max': np.float64(189.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=34 nevals=46 stats={'avg': np.float64(91.03333333333333), 'std': np.float64(24.397381462407438), 'min': np.float64(84.0), 'max': np.float64(200.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=35 nevals=42 stats={'avg': np.float64(89.33333333333333), 'std': np.float64(18.35180887239427), 'min': np.float64(84.0), 'max': np.float64(170.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=36 nevals=49 stats={'avg': np.float64(87.43333333333334), 'std': np.float64(18.503483155581524), 'min': np.float64(84.0), 'max': np.float64(191.0)} top3=[([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=37 nevals=54 stats={'avg': np.float64(85.78333333333333), 'std': np.float64(8.780834559172353), 'min': np.float64(84.0), 'max': np.float64(135.0)} top3=[([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=38 nevals=48 stats={'avg': np.float64(92.18333333333334), 'std': np.float64(25.988774286004503), 'min': np.float64(84.0), 'max': np.float64(200.0)} top3=[([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=39 nevals=50 stats={'avg': np.float64(92.25), 'std': np.float64(26.366408553308887), 'min': np.float64(84.0), 'max': np.float64(200.0)} top3=[([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
gen=40 nevals=39 stats={'avg': np.float64(90.21666666666667), 'std': np.float64(23.153179527274915), 'min': np.float64(84.0), 'max': np.float64(200.0)} top3=[([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 51, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28), ([67, 54, 2, 47, 69, 15], (84.0,), 31)]
